StoreNo,IDX,days,mean_daily_sales,median_daily_sales,positive_sales_days,zero_sales_days,positive_day_share,zero_day_share,rotation_group
R195,351722.0,560,1.3678571428571429,1.0,297,263,0.5303571428571429,0.46964285714285714,medium
R195,354444.0,568,1.596830985915493,1.0,358,210,0.6302816901408451,0.36971830985915494,medium
R195,355798.0,534,1.49625468164794,1.0,343,191,0.6423220973782772,0.35767790262172283,medium
R195,355799.0,506,1.5691699604743083,1.0,331,175,0.6541501976284585,0.3458498023715415,medium
R195,356368.0,538,1.3066914498141264,1.0,323,215,0.6003717472118959,0.3996282527881041,medium
R195,356597.0,551,3.072595281306715,2.0,415,136,0.7531760435571688,0.24682395644283123,high
R195,356598.0,566,3.1537102473498235,2.0,397,169,0.7014134275618374,0.29858657243816256,high
R195,356599.0,560,2.0160714285714287,1.0,386,174,0.6892857142857143,0.3107142857142857,high
R195,356680.0,523,1.3690248565965584,1.0,313,210,0.5984703632887189,0.40152963671128106,medium
R195,356896.0,542,1.188191881918819,1.0,310,232,0.5719557195571956,0.4280442804428044,medium
R195,356902.0,568,2.051056338028169,1.0,353,215,0.6214788732394366,0.3785211267605634,high
R195,357574.0,457,1.4463894967177242,1.0,292,165,0.6389496717724289,0.3610503282275711,medium
R195,357828.0,564,1.00177304964539,1.0,290,274,0.5141843971631206,0.4858156028368794,low
R195,357851.0,500,1.076,1.0,258,242,0.516,0.484,low
R195,359446.0,365,3.9315068493150687,3.0,365,0,1.0,0.0,high
R195,359741.0,557,1.2621184919210053,1.0,286,271,0.5134649910233393,0.4865350089766607,medium
R195,360358.0,485,1.6061855670103093,1.0,298,187,0.6144329896907217,0.38556701030927837,high
R195,361136.0,556,1.1888489208633093,1.0,325,231,0.5845323741007195,0.4154676258992806,medium
R195,362836.0,520,2.103846153846154,1.0,341,179,0.6557692307692308,0.34423076923076923,high
R195,363800.0,545,0.8458715596330275,0.0,256,289,0.46972477064220186,0.5302752293577981,low
R195,364101.0,546,1.2472527472527473,1.0,297,249,0.5439560439560439,0.45604395604395603,medium
R195,364652.0,484,1.6900826446280992,1.0,322,162,0.6652892561983471,0.3347107438016529,high
R195,368184.0,537,1.4115456238361266,1.0,301,236,0.5605214152700186,0.43947858472998136,medium
R195,368446.0,543,1.5635359116022098,1.0,334,209,0.6151012891344383,0.3848987108655617,medium
R195,368696.0,566,2.5547703180212014,2.0,408,158,0.7208480565371025,0.2791519434628975,high
R195,369455.0,512,0.935546875,1.0,260,252,0.5078125,0.4921875,low
R195,370323.0,477,1.5618448637316562,1.0,261,216,0.5471698113207547,0.4528301886792453,medium
R195,370659.0,494,1.1558704453441295,0.5,247,247,0.5,0.5,low
R195,370705.0,539,1.2987012987012987,1.0,275,264,0.5102040816326531,0.4897959183673469,medium
R195,371311.0,558,2.596774193548387,2.0,407,151,0.7293906810035843,0.27060931899641577,high
R195,371911.0,467,0.828693790149893,0.0,224,243,0.4796573875802998,0.5203426124197003,low
R195,373537.0,527,0.9506641366223909,1.0,284,243,0.538899430740038,0.46110056925996207,low
R195,374199.0,543,1.1804788213627992,1.0,316,227,0.58195211786372,0.4180478821362799,medium
R195,375891.0,534,0.8913857677902621,0.0,256,278,0.4794007490636704,0.5205992509363296,low
R195,375892.0,544,1.2389705882352942,1.0,299,245,0.5496323529411765,0.45036764705882354,medium
R195,377035.0,501,1.003992015968064,0.0,248,253,0.49500998003992014,0.5049900199600799,low
R195,377163.0,540,1.5092592592592593,1.0,367,173,0.6796296296296296,0.32037037037037036,medium
R195,378802.0,523,1.0458891013384322,1.0,294,229,0.5621414913957935,0.4378585086042065,low
R195,380137.0,538,0.8661710037174721,0.0,255,283,0.4739776951672863,0.5260223048327137,low
R195,380223.0,562,0.8487544483985765,0.0,261,301,0.46441281138790036,0.5355871886120996,low
R195,381188.0,495,1.103030303030303,1.0,267,228,0.5393939393939394,0.46060606060606063,low
R195,381495.0,539,1.320964749536178,1.0,333,206,0.6178107606679035,0.3821892393320965,medium
R195,381725.0,528,1.316287878787879,1.0,327,201,0.6193181818181818,0.3806818181818182,medium
R195,381746.0,527,0.7874762808349146,0.0,231,296,0.43833017077798864,0.5616698292220114,low
R195,381750.0,550,1.3763636363636365,1.0,333,217,0.6054545454545455,0.39454545454545453,medium
